substrate,substrate_conductivity_s_m,aln_conductivity_s_m,aln_conductance_ratio,pinhole_fraction,metal_conductance_ratio,effective_conductance_ratio,current_closure_proxy,worst_case_lorentz_drag_proxy,mhd_performance_only
IN625,800000.0,1e-10,1.25e-19,0.0001,0.005,5.00000000000125e-07,4.9999975000025e-07,0.575999712000288,True
IN625,800000.0,1e-10,1.25e-19,0.001,0.005,5.000000000000125e-06,4.999975000125124e-06,5.759971200144143,True
IN625,800000.0,1e-10,1.25e-19,0.01,0.005,5.0000000000000124e-05,4.999750012499387e-05,57.59712014399294,True
IN625,800000.0,1e-10,1.25e-19,0.1,0.005,0.0005000000000000001,0.0004997501249375314,575.7121439280362,True
IN625,800000.0,1e-09,1.2500000000000003e-18,0.0,0.005,1.2500000000000003e-18,1.2500000000000003e-18,1.4400000000000003e-12,True
IN625,800000.0,1e-09,1.2500000000000003e-18,1e-07,0.005,5.000000012499999e-10,5.000000009999999e-10,0.0005760000011519998,True
IN625,800000.0,1e-09,1.2500000000000003e-18,1e-06,0.005,5.000000001249999e-09,4.9999999762499995e-09,0.005759999972639999,True
IN625,800000.0,1e-09,1.2500000000000003e-18,1e-05,0.005,5.0000000001249993e-08,4.999999750125012e-08,0.05759999712144014,True
IN625,800000.0,1e-09,1.2500000000000003e-18,0.0001,0.005,5.0000000000125e-07,4.99999750001375e-07,0.575999712001584,True
IN625,800000.0,1e-09,1.2500000000000003e-18,0.001,0.005,5.000000000001249e-06,4.999975000126248e-06,5.759971200145438,True
IN625,800000.0,1e-09,1.2500000000000003e-18,0.01,0.005,5.000000000000124e-05,4.999750012499499e-05,57.597120143994225,True
IN625,800000.0,1e-09,1.2500000000000003e-18,0.1,0.005,0.0005000000000000011,0.0004997501249375323,575.7121439280372,True
IN625,800000.0,1e-08,1.25e-17,0.0,0.005,1.25e-17,1.25e-17,1.44e-11,True
IN625,800000.0,1e-08,1.25e-17,1e-07,0.005,5.000000124999988e-10,5.000000122499988e-10,0.0005760000141119986,True
IN625,800000.0,1e-08,1.25e-17,1e-06,0.005,5.000000012499988e-09,4.999999987499988e-09,0.005759999985599986,True
IN625,800000.0,1e-08,1.25e-17,1e-05,0.005,5.000000001249988e-08,4.999999751250001e-08,0.05759999713440001,True
IN625,800000.0,1e-08,1.25e-17,0.0001,0.005,5.000000000124988e-07,4.999997500126238e-07,0.5759997120145426,True
IN625,800000.0,1e-08,1.25e-17,0.001,0.005,5.000000000012488e-06,4.999975000137487e-06,5.759971200158385,True
IN625,800000.0,1e-08,1.25e-17,0.01,0.005,5.0000000000012376e-05,4.999750012500612e-05,57.59712014400705,True
IN625,800000.0,1e-08,1.25e-17,0.1,0.005,0.0005000000000000113,0.0004997501249375425,575.7121439280489,True
IN625,800000.0,1e-07,1.2499999999999999e-16,0.0,0.005,1.2499999999999999e-16,1.2499999999999996e-16,1.4399999999999994e-10,True
IN625,800000.0,1e-07,1.2499999999999999e-16,1e-07,0.005,5.000001249999876e-10,5.000001247499875e-10,0.0005760001437119856,True
IN625,800000.0,1e-07,1.2499999999999999e-16,1e-06,0.005,5.000000124999875e-09,5.0000000999998736e-09,0.005760000115199854,True
IN625,800000.0,1e-07,1.2499999999999999e-16,1e-05,0.005,5.0000000124998754e-08,4.9999997624998864e-08,0.05759999726399869,True
IN625,800000.0,1e-07,1.2499999999999999e-16,0.0001,0.005,5.000000001249876e-07,4.999997501251125e-07,0.5759997121441296,True
IN625,800000.0,1e-07,1.2499999999999999e-16,0.001,0.005,5.000000000124875e-06,4.999975000249873e-06,5.759971200287854,True
IN625,800000.0,1e-07,1.2499999999999999e-16,0.01,0.005,5.000000000012375e-05,4.999750012511749e-05,57.597120144135346,True
IN625,800000.0,1e-07,1.2499999999999999e-16,0.1,0.005,0.0005000000000001126,0.0004997501249376436,575.7121439281655,True
IN625,800000.0,1e-06,1.25e-15,0.0,0.005,1.25e-15,1.2499999999999984e-15,1.4399999999999981e-09,True
IN625,800000.0,1e-06,1.25e-15,1e-07,0.005,5.00001249999875e-10,5.000012497498738e-10,0.0005760014397118546,True
IN625,800000.0,1e-06,1.25e-15,1e-06,0.005,5.00000124999875e-09,5.000001224998737e-09,0.005760001411198545,True
IN625,800000.0,1e-06,1.25e-15,1e-05,0.005,5.00000012499875e-08,4.99999987499875e-08,0.0575999985599856,True
IN625,800000.0,1e-06,1.25e-15,0.0001,0.005,5.000000012498751e-07,4.999997512499989e-07,0.5759997134399988,True
IN625,800000.0,1e-06,1.25e-15,0.001,0.005,5.000000001248751e-06,4.999975001373738e-06,5.759971201582546,True
