time_s,mean_velocity_m_per_s,bend_inboard_velocity_m_per_s,bend_outboard_velocity_m_per_s,pressure_drop_pa,relative_update,courant
6.300000000000e+00,1.998160011252e-01,1.886349873839e-01,2.033570827704e-01,2.636479976866e+04,2.786154408117e-07,5.099967256256e-01
6.350000000000e+00,1.998160509206e-01,1.886350343893e-01,2.033571334443e-01,2.636480636960e+04,2.515462846293e-07,5.099968527329e-01
6.400000000000e+00,1.998160958780e-01,1.886350768278e-01,2.033571791950e-01,2.636481232922e+04,2.271070639939e-07,5.099969674911e-01
6.450000000000e+00,1.998161364675e-01,1.886351151432e-01,2.033572205007e-01,2.636481770983e+04,2.050422638983e-07,5.099970710998e-01
6.500000000000e+00,1.998161731136e-01,1.886351497360e-01,2.033572577933e-01,2.636482256769e+04,1.851211939389e-07,5.099971646423e-01
6.550000000000e+00,1.998162061992e-01,1.886351809679e-01,2.033572914627e-01,2.636482695357e+04,1.671355764875e-07,5.099972490967e-01
6.600000000000e+00,1.998162360704e-01,1.886352091655e-01,2.033573218610e-01,2.636483091335e+04,1.508973706131e-07,5.099973253458e-01
6.650000000000e+00,1.998162630395e-01,1.886352346235e-01,2.033573493059e-01,2.636483448840e+04,1.362368041083e-07,5.099973941869e-01
6.700000000000e+00,1.998162873883e-01,1.886352576081e-01,2.033573740843e-01,2.636483771612e+04,1.230005994458e-07,5.099974563397e-01
6.750000000000e+00,1.998163093715e-01,1.886352783596e-01,2.033573964554e-01,2.636484063025e+04,1.110503708816e-07,5.099975124539e-01
6.800000000000e+00,1.998163292189e-01,1.886352970950e-01,2.033574166530e-01,2.636484326125e+04,1.002611778401e-07,5.099975631164e-01
6.850000000000e+00,1.998163471381e-01,1.886353140101e-01,2.033574348883e-01,2.636484563664e+04,9.052021943612e-08,5.099976088567e-01
6.900000000000e+00,1.998163633163e-01,1.886353292819e-01,2.033574513519e-01,2.636484778124e+04,8.172565249286e-08,5.099976501530e-01
6.950000000000e+00,1.998163779226e-01,1.886353430699e-01,2.033574662160e-01,2.636484971749e+04,7.378552944190e-08,5.099976874372e-01
7.000000000000e+00,1.998163911099e-01,1.886353555183e-01,2.033574796360e-01,2.636485146561e+04,6.661683596259e-08,5.099977210990e-01
7.050000000000e+00,1.998164030160e-01,1.886353667573e-01,2.033574917521e-01,2.636485304390e+04,6.014462308161e-08,5.099977514904e-01
7.100000000000e+00,1.998164137653e-01,1.886353769043e-01,2.033575026911e-01,2.636485446884e+04,5.430122400860e-08,5.099977789291e-01
7.150000000000e+00,1.998164234703e-01,1.886353860655e-01,2.033575125673e-01,2.636485575535e+04,4.902554515012e-08,5.099978037020e-01
7.200000000000e+00,1.998164322323e-01,1.886353943367e-01,2.033575214839e-01,2.636485691686e+04,4.426242921794e-08,5.099978260680e-01
7.250000000000e+00,1.998164401431e-01,1.886354018042e-01,2.033575295343e-01,2.636485796553e+04,3.996207765197e-08,5.099978462610e-01
7.300000000000e+00,1.998164472853e-01,1.886354085463e-01,2.033575368025e-01,2.636485891231e+04,3.607953055153e-08,5.099978644922e-01
7.350000000000e+00,1.998164537336e-01,1.886354146333e-01,2.033575433646e-01,2.636485976711e+04,3.257419522487e-08,5.099978809521e-01
7.400000000000e+00,1.998164595554e-01,1.886354201289e-01,2.033575492891e-01,2.636486053885e+04,2.940942391223e-08,5.099978958128e-01
7.450000000000e+00,1.998164648116e-01,1.886354250906e-01,2.033575546381e-01,2.636486123562e+04,2.655212845862e-08,5.099979092297e-01
7.500000000000e+00,1.998164695571e-01,1.886354295702e-01,2.033575594673e-01,2.636486186469e+04,2.397243554762e-08,5.099979213431e-01
7.550000000000e+00,1.998164738416e-01,1.886354336146e-01,2.033575638274e-01,2.636486243265e+04,2.164337513421e-08,5.099979322796e-01
7.600000000000e+00,1.998164777098e-01,1.886354372661e-01,2.033575677638e-01,2.636486294542e+04,1.954059624235e-08,5.099979421536e-01
7.650000000000e+00,1.998164812022e-01,1.886354405628e-01,2.033575713178e-01,2.636486340838e+04,1.764211443346e-08,5.099979510683e-01
7.700000000000e+00,1.998164843553e-01,1.886354435392e-01,2.033575745265e-01,2.636486382636e+04,1.592808122211e-08,5.099979591168e-01
7.750000000000e+00,1.998164872020e-01,1.886354462265e-01,2.033575774235e-01,2.636486420373e+04,1.438057613370e-08,5.099979663834e-01
7.800000000000e+00,1.998164897722e-01,1.886354486526e-01,2.033575800390e-01,2.636486454443e+04,1.298342043146e-08,5.099979729440e-01
7.850000000000e+00,1.998164920926e-01,1.886354508431e-01,2.033575824004e-01,2.636486485203e+04,1.172200612326e-08,5.099979788672e-01
7.900000000000e+00,1.998164941876e-01,1.886354528207e-01,2.033575845324e-01,2.636486512975e+04,1.058314552654e-08,5.099979842149e-01
7.950000000000e+00,1.998164960791e-01,1.886354546062e-01,2.033575864572e-01,2.636486538049e+04,9.554932084683e-09,5.099979890430e-01
8.000000000000e+00,1.998164977868e-01,1.886354562182e-01,2.033575881951e-01,2.636486560686e+04,8.626615212890e-09,5.099979934021e-01
8.050000000000e+00,1.998164993286e-01,1.886354576736e-01,2.033575897641e-01,2.636486581124e+04,7.788489729252e-09,5.099979973377e-01
8.100000000000e+00,1.998165007206e-01,1.886354589876e-01,2.033575911806e-01,2.636486599577e+04,7.031793342331e-09,5.099980008909e-01
8.150000000000e+00,1.998165019774e-01,1.886354601740e-01,2.033575924595e-01,2.636486616237e+04,6.348614140007e-09,5.099980040989e-01
8.200000000000e+00,1.998165031120e-01,1.886354612450e-01,2.033575936142e-01,2.636486631278e+04,5.731809468587e-09,5.099980069952e-01
8.250000000000e+00,1.998165041364e-01,1.886354622121e-01,2.033575946567e-01,2.636486644858e+04,5.174931201604e-09,5.099980096101e-01
8.300000000000e+00,1.998165050613e-01,1.886354630851e-01,2.033575955979e-01,2.636486657118e+04,4.672156842658e-09,5.099980119710e-01
8.350000000000e+00,1.998165058963e-01,1.886354638734e-01,2.033575964477e-01,2.636486668187e+04,4.218229934937e-09,5.099980141025e-01
8.400000000000e+00,1.998165066502e-01,1.886354645850e-01,2.033575972149e-01,2.636486678181e+04,3.808404360106e-09,5.099980160269e-01
8.450000000000e+00,1.998165073309e-01,1.886354652276e-01,2.033575979075e-01,2.636486687204e+04,3.438395999195e-09,5.099980177643e-01
8.500000000000e+00,1.998165079454e-01,1.886354658076e-01,2.033575985329e-01,2.636486695350e+04,3.104336060357e-09,5.099980193329e-01
8.550000000000e+00,1.998165085002e-01,1.886354663314e-01,2.033575990975e-01,2.636486702705e+04,2.802731907528e-09,5.099980207492e-01
8.600000000000e+00,1.998165090012e-01,1.886354668042e-01,2.033575996073e-01,2.636486709345e+04,2.530430528292e-09,5.099980220278e-01
8.650000000000e+00,1.998165094534e-01,1.886354672311e-01,2.033576000675e-01,2.636486715340e+04,2.284584363147e-09,5.099980231822e-01
8.700000000000e+00,1.998165098617e-01,1.886354676166e-01,2.033576004830e-01,2.636486720753e+04,2.062624080040e-09,5.099980242245e-01
8.750000000000e+00,1.998165102304e-01,1.886354679646e-01,2.033576008582e-01,2.636486725640e+04,1.862228154081e-09,5.099980251655e-01
8.800000000000e+00,1.998165105632e-01,1.886354682787e-01,2.033576011969e-01,2.636486730052e+04,1.681302031733e-09,5.099980260150e-01
8.850000000000e+00,1.998165108637e-01,1.886354685624e-01,2.033576015027e-01,2.636486734035e+04,1.517953822370e-09,5.099980267821e-01
