field_scale,station_m,b_perp_t,hartmann,total_pressure_drop_pa,hydraulic_pressure_drop_pa,mhd_pressure_drop_pa,curvature_pressure_drop_pa,total_pressure_gradient_pa_per_m
1.000000000000e+01,1.362676056338e+00,6.345147266984e-02,1.595145288264e+02,1.852881593888e+02,1.497331227552e+01,1.703148471133e+02,0.000000000000e+00,2.336309100815e+02
1.000000000000e+01,1.394366197183e+00,7.586066145450e-02,1.907107456959e+02,1.942067430883e+02,1.532152884006e+01,1.788852142482e+02,0.000000000000e+00,3.292308167321e+02
1.000000000000e+01,1.426056338028e+00,8.902704343200e-02,2.238105167354e+02,2.065423922305e+02,1.566974540461e+01,1.908726468259e+02,0.000000000000e+00,4.492857069099e+02
1.000000000000e+01,1.457746478873e+00,1.029406953603e-01,2.587888953011e+02,2.231207120150e+02,1.601796196916e+01,2.071027500459e+02,0.000000000000e+00,5.969904750458e+02
1.000000000000e+01,1.489436619718e+00,1.175825484097e-01,2.955979430985e+02,2.448686638054e+02,1.636617853370e+01,2.285024852717e+02,0.000000000000e+00,7.755469268337e+02
1.000000000000e+01,1.521126760563e+00,1.329236011952e-01,3.341647517763e+02,2.728132408310e+02,1.671439509825e+01,2.560988457327e+02,0.000000000000e+00,9.880663787831e+02
1.000000000000e+01,1.552816901408e+00,1.489239092916e-01,3.743889026066e+02,3.080767023310e+02,1.706261166280e+01,2.910140906682e+02,0.000000000000e+00,1.237449858104e+03
1.000000000000e+01,1.584507042254e+00,1.655316911638e-01,4.161402188286e+02,3.518677074599e+02,1.741082822734e+01,3.344568792326e+02,0.000000000000e+00,1.526249132257e+03
1.000000000000e+01,1.616197183099e+00,1.826828345656e-01,4.592575247549e+02,4.054678602339e+02,1.775904479189e+01,3.877088154420e+02,0.000000000000e+00,1.856516065033e+03
1.000000000000e+01,1.647887323944e+00,2.003002911806e-01,5.035471239212e+02,4.702132210400e+02,1.810726135644e+01,4.521059596835e+02,0.000000000000e+00,2.229635594729e+03
1.000000000000e+01,1.679577464789e+00,2.182936854661e-01,5.487818157362e+02,5.474704050328e+02,1.845547792099e+01,5.290149271118e+02,0.000000000000e+00,2.646151128372e+03
1.000000000000e+01,1.711267605634e+00,2.365595474839e-01,5.947014808092e+02,6.386072966660e+02,1.880369448553e+01,6.198036021805e+02,0.000000000000e+00,3.105599365819e+03
1.000000000000e+01,1.742957746479e+00,2.549814432859e-01,6.410134087330e+02,7.449585647524e+02,1.915191105008e+01,7.258066537023e+02,0.000000000000e+00,3.606347331184e+03
