station_m,total_pressure_kpa,hydraulic_pressure_kpa,mhd_pressure_kpa,curvature_pressure_kpa
6.947094917297e+00,2.648090234375e+01,7.633583116452e-02,2.633946617115e+01,6.510000589941e-02
6.978785037994e+00,2.648497265625e+01,7.668404746672e-02,2.634318918092e+01,6.510000589941e-02
7.010475158691e+00,2.648899804688e+01,7.703226376892e-02,2.634686636595e+01,6.510000589941e-02
7.042165279388e+00,2.649296875000e+01,7.738048007111e-02,2.635048895169e+01,6.510000589941e-02
7.073855400085e+00,2.649687890625e+01,7.772869637331e-02,2.635404941262e+01,6.510000589941e-02
7.105545520782e+00,2.650071875000e+01,7.807691267551e-02,2.635754137756e+01,6.510000589941e-02
7.137235641479e+00,2.650448437500e+01,7.842512897770e-02,2.636095953445e+01,6.510000589941e-02
7.168925762177e+00,2.650817187500e+01,7.877334527990e-02,2.636429953661e+01,6.510000589941e-02
7.200615882874e+00,2.651177929688e+01,7.912156158210e-02,2.636755791348e+01,6.510000589941e-02
7.232306003571e+00,2.651530078125e+01,7.946977788429e-02,2.637073198352e+01,6.510000589941e-02
7.263996124268e+00,2.651873828125e+01,7.981799418649e-02,2.637381977140e+01,6.510000589941e-02
7.295686244965e+00,2.652208593750e+01,8.016621048869e-02,2.637681993188e+01,6.510000589941e-02
7.327376365662e+00,2.652534570313e+01,8.051442679088e-02,2.637973167775e+01,6.510000589941e-02
