station_m,total_pressure_kpa,hydraulic_pressure_kpa,mhd_pressure_kpa,curvature_pressure_kpa
4.919201850891e+00,2.227808984375e+01,5.405300581382e-02,2.216257857809e+01,6.145803380891e-02
4.938973426819e+00,2.242006250000e+01,5.427025916934e-02,2.230387903203e+01,6.191327165960e-02
4.958745479584e+00,2.256203906250e+01,5.448751776442e-02,2.244518289376e+01,6.236852048941e-02
4.978517055511e+00,2.270401171875e+01,5.470477111994e-02,2.258648336701e+01,6.282375834010e-02
4.998289108276e+00,2.284598828125e+01,5.492202971502e-02,2.272778727218e+01,6.327900716990e-02
5.018061161041e+00,2.298796484375e+01,5.513928831010e-02,2.286909117735e+01,6.373425599970e-02
5.037832736969e+00,2.312993750000e+01,5.535654166562e-02,2.301039167473e+01,6.418949385040e-02
5.057604789734e+00,2.327189257813e+01,5.557380026070e-02,2.315169557990e+01,6.462288229562e-02
5.077376365662e+00,2.341370312500e+01,5.579105361622e-02,2.329299607729e+01,6.491609854568e-02
5.109066486359e+00,2.364019726563e+01,5.613926991841e-02,2.351897968966e+01,6.507814093642e-02
5.140756607056e+00,2.386458593750e+01,5.648748622061e-02,2.374299795750e+01,6.510000589941e-02
5.172446727753e+00,2.408507226563e+01,5.683570252281e-02,2.396313648340e+01,6.510000589941e-02
5.204137325287e+00,2.429986718750e+01,5.718392406457e-02,2.417758364665e+01,6.510000589941e-02
5.235827445984e+00,2.450729492188e+01,5.753214036677e-02,2.438466202082e+01,6.510000589941e-02
5.267517566681e+00,2.470586718750e+01,5.788035666896e-02,2.458288572963e+01,6.510000589941e-02
5.299207687378e+00,2.489430664063e+01,5.822857297116e-02,2.477097787628e+01,6.510000589941e-02
5.330897808075e+00,2.507157226563e+01,5.857678927336e-02,2.494789547982e+01,6.510000589941e-02
5.362587928772e+00,2.523686718750e+01,5.892500557555e-02,2.511284209383e+01,6.510000589941e-02
5.394278049469e+00,2.538964453125e+01,5.927322187775e-02,2.526527138870e+01,6.510000589941e-02
