station_m,b_perp_t,hartmann,pressure_drop_pa,total_pressure_gradient_pa_per_m
2.942015234204e+00,3.594914376736e-01,9.037474606144e+02,8.080583738172e+03,7.180658413780e+03
2.961787098038e+00,3.594914674759e-01,9.037475355363e+02,8.222558750284e+03,7.180659598713e+03
2.981558961872e+00,3.594915270805e-01,9.037476853801e+02,8.364533797539e+03,7.180661968580e+03
3.001330825707e+00,3.594914376736e-01,9.037474606144e+02,8.506508833081e+03,7.180658413780e+03
3.021102689541e+00,3.594915270805e-01,9.037476853801e+02,8.648483868622e+03,7.180661968580e+03
3.040874553376e+00,3.594914972782e-01,9.037476104582e+02,8.790458927591e+03,7.180660783646e+03
3.060646417210e+00,3.594914674759e-01,9.037475355363e+02,8.932433963132e+03,7.180659598713e+03
3.080418281044e+00,3.594914972782e-01,9.037476104582e+02,9.074408998673e+03,7.180660783646e+03
3.100190144879e+00,3.594914972782e-01,9.037476104582e+02,9.216384045928e+03,7.180660783646e+03
3.119962008713e+00,3.594915270805e-01,9.037476853801e+02,9.358359104898e+03,7.180661968580e+03
3.139733872548e+00,3.594914674759e-01,9.037475355363e+02,9.500334152153e+03,7.180659598713e+03
3.159505736382e+00,3.594915270805e-01,9.037476853801e+02,9.642309199408e+03,7.180661968580e+03
3.179277600216e+00,3.594914674759e-01,9.037475355363e+02,9.784284246663e+03,7.180659598713e+03
3.199049464051e+00,3.594914674759e-01,9.037475355363e+02,9.926259270490e+03,7.180659598713e+03
3.218821327885e+00,3.594915270805e-01,9.037476853801e+02,1.006823431775e+04,7.180661968580e+03
3.238593191720e+00,3.594914674759e-01,9.037475355363e+02,1.021020936500e+04,7.180659598713e+03
3.258365055554e+00,3.594914972782e-01,9.037476104582e+02,1.035218440054e+04,7.180660783646e+03
3.278136919388e+00,3.594914972782e-01,9.037476104582e+02,1.049415944780e+04,7.180660783646e+03
3.297908783223e+00,3.594914674759e-01,9.037475355363e+02,1.063613448334e+04,7.180659598713e+03
3.317680647057e+00,3.594914972782e-01,9.037476104582e+02,1.077810951888e+04,7.180660783646e+03
3.337452510891e+00,3.594914376736e-01,9.037474606144e+02,1.092008454271e+04,7.180658413780e+03
3.357224374726e+00,3.594914674759e-01,9.037475355363e+02,1.106205955482e+04,7.180659598713e+03
3.376996238560e+00,3.594915270805e-01,9.037476853801e+02,1.120403460207e+04,7.180661968580e+03
3.396768102395e+00,3.594914972782e-01,9.037476104582e+02,1.134600966104e+04,7.180660783646e+03
3.416539966229e+00,3.594915270805e-01,9.037476853801e+02,1.148798472001e+04,7.180661968580e+03
3.436311830063e+00,3.594914376736e-01,9.037474606144e+02,1.162995975555e+04,7.180658413780e+03
3.456083693898e+00,3.594914376736e-01,9.037474606144e+02,1.177193475595e+04,7.180658413780e+03
3.475855557732e+00,3.594914972782e-01,9.037476104582e+02,1.191390977978e+04,7.180660783646e+03
3.495627421567e+00,3.594914674759e-01,9.037475355363e+02,1.205588481532e+04,7.180659598713e+03
3.515399285401e+00,3.594915270805e-01,9.037476853801e+02,1.219785986257e+04,7.180661968580e+03
3.535171149235e+00,3.594915270805e-01,9.037476853801e+02,1.233983493326e+04,7.180661968580e+03
3.554943013070e+00,3.594914972782e-01,9.037476104582e+02,1.248180999223e+04,7.180660783646e+03
3.574714876904e+00,3.594914674759e-01,9.037475355363e+02,1.262378502777e+04,7.180659598713e+03
3.594486740739e+00,3.594914972782e-01,9.037476104582e+02,1.276576006331e+04,7.180660783646e+03
3.614258604573e+00,3.594914972782e-01,9.037476104582e+02,1.290773511057e+04,7.180660783646e+03
3.634030468407e+00,3.594915270805e-01,9.037476853801e+02,1.304971016953e+04,7.180661968580e+03
3.653802332242e+00,3.594915270805e-01,9.037476853801e+02,1.319168524022e+04,7.180661968580e+03
3.673574196076e+00,3.594915270805e-01,9.037476853801e+02,1.333366031090e+04,7.180661968580e+03
3.693346059910e+00,3.594915270805e-01,9.037476853801e+02,1.347563538159e+04,7.180661968580e+03
3.713117923745e+00,3.594914972782e-01,9.037476104582e+02,1.361761044055e+04,7.180660783646e+03
3.732889787579e+00,3.594914972782e-01,9.037476104582e+02,1.375958548781e+04,7.180660783646e+03
3.752661651414e+00,3.594914674759e-01,9.037475355363e+02,1.390156052335e+04,7.180659598713e+03
3.772433515248e+00,3.594914972782e-01,9.037476104582e+02,1.404353555889e+04,7.180660783646e+03
3.792205379082e+00,3.594915270805e-01,9.037476853801e+02,1.418551061786e+04,7.180661968580e+03
3.811977242917e+00,3.594915270805e-01,9.037476853801e+02,1.432748568854e+04,7.180661968580e+03
3.831749106751e+00,3.594914674759e-01,9.037475355363e+02,1.446946073580e+04,7.180659598713e+03
3.851520970586e+00,3.594914972782e-01,9.037476104582e+02,1.461143577134e+04,7.180660783646e+03
3.871292834420e+00,3.594914376736e-01,9.037474606144e+02,1.475341079517e+04,7.180658413780e+03
3.891064698254e+00,3.594914376736e-01,9.037474606144e+02,1.489538579557e+04,7.180658413780e+03
3.910836562089e+00,3.594915270805e-01,9.037476853801e+02,1.503736083111e+04,7.180661968580e+03
3.930608425923e+00,3.594914972782e-01,9.037476104582e+02,1.517933589008e+04,7.180660783646e+03
3.950380289758e+00,3.594915270805e-01,9.037476853801e+02,1.532131094905e+04,7.180661968580e+03
3.970152153592e+00,3.594914674759e-01,9.037475355363e+02,1.546328599630e+04,7.180659598713e+03
3.989924017426e+00,3.594914376736e-01,9.037474606144e+02,1.560526100841e+04,7.180658413780e+03
4.009695881261e+00,3.594914972782e-01,9.037476104582e+02,1.574723603224e+04,7.180660783646e+03
4.029467745095e+00,3.594914674759e-01,9.037475355363e+02,1.588921106778e+04,7.180659598713e+03
